http://www.cars-data.com//en/mercedes-c-43-amg-4matic-cabriolet-specs/76605	Mercedes C 43 AMG 4MATIC Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	95.753	G	cabriolet	4686	1409 mm	1810 mm	1770 kg	1770 kg	190 g/km	2016	petrol	2	2	9	4	gearbox	285-360 l	75 kg	4,8 s	front+rear	66 l	8,3 l/100km	250 km/h	545 kg	1000 kg	dohc	petrol	2996 cc	270 KW	520 Nm
http://www.cars-data.com//en/mercedes-c-400-4matic-cabriolet-specs/76604	Mercedes C 400 4MATIC Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	81.229	F	cabriolet	4686	1409 mm	1810 mm	1705 kg	1705 kg	181 g/km	2016	petrol	2	2	9	4	gearbox	285-360 l	75 kg	5,2 s	front+rear	66 l	8,0 l/100km	250 km/h	580 kg	1800 kg	dohc	petrol	2996 cc	245 KW	480 Nm
http://www.cars-data.com//en/mercedes-c-250-cabriolet-specs/76603	Mercedes C 250 Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	59.156	C	cabriolet	4686	1409 mm	1810 mm	1565 kg	1565 kg	140 g/km	2016	petrol	2	2	7	4	gearbox	285-360 l	75 kg	6,9 s	rear	50 l	6,2 l/100km	244 km/h	580 kg	1800 kg	dohc	petrol	1991 cc	155 KW	350 Nm
http://www.cars-data.com//en/mercedes-c-200-cabriolet-specs/76602	Mercedes C 200 Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	56.809	C	cabriolet	4686	1409 mm	1810 mm	1565 kg	1565 kg	140 g/km	2016	petrol	2	2	7	4	gearbox	285-360 l	75 kg	7,8 s	rear	50 l	6,2 l/100km	233 km/h	580 kg	1800 kg	dohc	petrol	1991 cc	135 KW	300 Nm
http://www.cars-data.com//en/mercedes-c-200-cabriolet-specs/76601	Mercedes C 200 Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	53.978	C	cabriolet	4686	1409 mm	1810 mm	1545 kg	1545 kg	136 g/km	2016	petrol	2	2	6	4	gearbox	285-360 l	75 kg	8,2 s	rear	50 l	6,0 l/100km	235 km/h	580 kg	1600 kg	dohc	petrol	1991 cc	135 KW	300 Nm
http://www.cars-data.com//en/mercedes-c-180-cabriolet-specs/76600	Mercedes C 180 Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	53.711	D	cabriolet	4686	1409 mm	1810 mm	1515 kg	1515 kg	146 g/km	2016	petrol	2	2	7	4	gearbox	285-360 l	75 kg	8,9 s	rear	41 l	6,5 l/100km	220 km/h	580 kg	1800 kg	dohc	petrol	1595 cc	115 KW	250 Nm
http://www.cars-data.com//en/mercedes-c-220-d-cabriolet-specs/76609	Mercedes C 220 d Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	59.804	E	cabriolet	4686	1409 mm	1810 mm	1645 kg	1645 kg	121 g/km	2016	diesel	2	2	9	4	gearbox	285-360 l	75 kg	8,2 s	rear	41 l	4,6 l/100km	231 km/h	580 kg	1800 kg	dohc	diesel	2143 cc	125 KW	400 Nm
http://www.cars-data.com//en/ford-windstar-ls-specs/16416	Ford Windstar LS	Ford Windstar	Ford	36.913	N.A.	mpv	5126	1789 mm	1915 mm	1840 kg	1840 kg		1995	petrol	2	5	4	7	gearbox	614-4075 l		13,5 s	front	94 l	10,5 l/100km	180 km/h	540 kg	1700 kg	ohv	petrol	2986 cc	109 KW	230 Nm
http://www.cars-data.com//en/ford-windstar-specs/16415	Ford Windstar	Ford Windstar	Ford	33.543	N.A.	mpv	5126	1789 mm	1915 mm	1785 kg	1785 kg		1997	petrol	2	5	4	7	gearbox	614-4075 l		13,5 s	front	94 l	10,5 l/100km	180 km/h	595 kg	1600 kg	ohv	petrol	2986 cc	109 KW	230 Nm
http://www.cars-data.com//en/ford-windstar-lx-specs/16417	Ford Windstar LX	Ford Windstar	Ford	37.092	N.A.	mpv	5126	1789 mm	1915 mm	1785 kg	1785 kg		1997	petrol	2	5	4	7	gearbox	614-4075 l		13,5 s	front	94 l	10,5 l/100km	180 km/h	595 kg	1600 kg	ohv	petrol	2986 cc	109 KW	230 Nm
