http://www.cars-data.com//en/renault-megane-1.5-dci-80-dynamique-comfort-specs/39071	Renault Megane 1.5 dCi 80 Dynamique Comfort	Renault Megane	Renault	24.895	F	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg	117 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		14,3 s	front	60 l	4,5 l/100km	170 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	60 KW	185 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-80-expression-luxe-specs/39070	Renault Megane 1.5 dCi 80 Expression Luxe	Renault Megane	Renault	26.195	F	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg	117 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		14,3 s	front	60 l	4,5 l/100km	170 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	60 KW	185 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-80-expression-comfort-specs/39069	Renault Megane 1.5 dCi 80 Expression Comfort	Renault Megane	Renault	24.995	F	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg	117 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		14,3 s	front	60 l	4,5 l/100km	170 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	60 KW	185 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-80-expression-basis-specs/39068	Renault Megane 1.5 dCi 80 Expression Basis	Renault Megane	Renault	23.295	F	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg	117 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		14,3 s	front	60 l	4,5 l/100km	170 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	60 KW	185 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-80-authentique-comfort-specs/39067	Renault Megane 1.5 dCi 80 Authentique Comfort	Renault Megane	Renault	24.695	F	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg	117 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		14,3 s	front	60 l	4,5 l/100km	170 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	60 KW	185 Nm
http://www.cars-data.com//en/renault-megane-1.6-16v-expression-comfort-specs/39023	Renault Megane 1.6 16V Expression Comfort	Renault Megane	Renault	21.995	G	hatchback	4209	1457 mm	1777 mm	1150 kg	1150 kg	163 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		10,9 s	front	60 l	6,8 l/100km	192 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-1.6-16v-authentique-comfort-specs/39020	Renault Megane 1.6 16V Authentique Comfort	Renault Megane	Renault	21.695	G	hatchback	4209	1457 mm	1777 mm	1150 kg	1150 kg	163 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		10,9 s	front	60 l	6,8 l/100km	192 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-expression-comfort-specs/39041	Renault Megane 2.0 16V Expression Comfort	Renault Megane	Renault	22.795	G	hatchback	4209	1457 mm	1777 mm	1225 kg	1225 kg	191 g/km	2002	petrol	2	5	6	5	gearbox	330-1190 l		9,2 s	front	60 l	8,0 l/100km	200 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-privilege-luxe-specs/39017	Renault Megane 1.4 16V Privilege Luxe	Renault Megane	Renault	22.695	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-expression-luxe-specs/39043	Renault Megane 2.0 16V Expression Luxe	Renault Megane	Renault	23.995	G	hatchback	4209	1457 mm	1777 mm	1225 kg	1225 kg	191 g/km	2002	petrol	2	5	6	5	gearbox	330-1190 l		9,2 s	front	60 l	8,0 l/100km	200 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
